Symbol	Description
KICK.OB	Hpn Holdings Inc
KIGRY.OB	Kion Group Ag
KIKOY.OB	Kikkoman Corp
KINUF.OB	Kintetsu Group Hldgs Co. Ltd
KIROY.OB	Kumba Iron Ore Ltd ADR
KISB.OB	Kish Bancorp Inc
KITL.OB	Kisses From Italy Inc
KKOYF.OB	Kesko Oy
KKOYY.OB	Kesko Oyj ADR
KKPNF.OB	Koninklijke Kpn NV
KKPNY.OB	Royal Kpn N.V. ADR
KLBAY.OB	Klabin S.A.
KLDCF.OB	Kenorland Minerals Ltd
KLDI.OB	Kldiscovery Inc
KLDIW.OB	Kldiscovery Inc
KLDO.OB	Kaleido Biosciences Inc
KLGDF.OB	Kalo Gold Corp
KLIB.OB	Killbuck Bancshares Inc
KLKLF.OB	Kirkland Lake Discoveries Corp
KLNG.OB	Koil Energy Solutions Inc
KLPEF.OB	Klepierre Sa Ord
KLSVF.OB	Klondike Silver Corp
KLYCY.OB	Kunlun Energy Co. Ltd
KLYG.OB	Kelyniam Global Inc
KMBIF.OB	Kambi Group Ltd
KMFI.OB	Keller Manufacturing Company
KMMPF.OB	Killam Apartment Real Estate Investment Trust
KMNCF.OB	Kingsmen Creatives Ltd
KMRPF.OB	Kenmare Resources Ltd
KMTUF.OB	Komatsu Ltd
KMTUY.OB	Komatsu Ltd ADR
KNAMF.OB	Konami Group Corp
KNBHF.OB	Knorr Bremse Ag
KNBIF.OB	Kane Biotech Inc
KNBWY.OB	Kirin Holdings Company ADR
KNCAF.OB	Konica Minolta Inc
KNCAY.OB	Konica Minolta Inc
KNCRF.OB	Konecranes Plc
KNCRY.OB	Konecranes Plc
KNDGF.OB	Kindred Group Plc.
KNDYF.OB	Kenadyr Metals Corp
KNEOF.OB	Kneomedia Limited
KNGRF.OB	Kingsmen Resources Ltd
KNKBF.OB	Kinnevik Ab
KNKT.OB	Kunekt Corp
KNKZF.OB	Kws Kleinwanzlebener Saatzucht Ag
KNNGF.OB	Kion Group Ag
KNOS.OB	Kronos Advanced Technologies Inc
KNRLF.OB	Kontrol Technologies Corp
KNRRY.OB	Knorr-Bremse Ag ADR
KNTNF.OB	K92 Mining Inc
KNTPF.OB	Kintor Pharmaceutical Ltd
KNYJF.OB	Kone Oyj
KNYJY.OB	Kone Oyj B Shs ADR
KOAN.OB	Resonate Blends Inc
KOGL.OB	Kopp Glass Inc
KOMOF.OB	Komo Plant Based Foods Inc
KONEF.OB	Wellbeing Digital Sciences Inc
KONMY.OB	Konami Group Corp ADR
KOOYD.OB	Kootenay Silver Inc
KOOYF.OB	Kootenay Silver Inc
KOREF.OB	Kore Mining Ltd
KORGW.OB	Kore Group Holdings Inc WT
KOSCF.OB	Kose Corp
KOSK.OB	One Step Vending Corp
KOTMF.OB	Koito Manufacturing Co. Ltd
KOTMY.OB	Koito Manufacturing Ltd ADR
KOYJF.OB	Kemira Oyj
KPCPF.OB	Kasikornbank Public Co. Ltd
KPCPY.OB	Kasikornbank Pub ADR
KPDCF.OB	Keppel Dc REIT Mgmt Pte Ltd
KPEA.OB	Kun Peng International Ltd
KPELF.OB	Keppel Corp Ltd
KPELY.OB	Keppel Corp Ltd ADR
KPGHF.OB	Kelly Partners Group Hldgs Ltd
KPIFF.OB	Edgewater Wireless Systems Inc
KPLUF.OB	K + S Ag
KPLUY.OB	K Plus S Ag ADR
KPTCY.OB	Kansai Paint Co. Ltd
KPTSF.OB	Kp Tissue Inc
KRANF.OB	Kraneshares Icav Kraneshares CSI China Internet
KRBP.OB	Kiromic Biopharma Inc
KRDXF.OB	Kardex Holding Ag
KREVF.OB	Keppel REIT
KRFG.OB	King Resources Inc
KRIUF.OB	Keg Royalties Inc Fd
KRKNF.OB	Kraken Sonar Inc
KRLCF.OB	Kainantu Res Ltd
KRLTF.OB	Karnalyte Res Inc
KRMCF.OB	Krm22 Plc
KRMKF.OB	Kromek Group Plc
KRNGF.OB	Karoon Gas Australia Ltd
KRNGY.OB	Karoon Energy Ltd
KRNTY.OB	Krones Ag ADR
KROEF.OB	Kr1 Plc
KRRGF.OB	Karora Resources Inc
KRTL.OB	Krtl Holding Group Inc
KRYAF.OB	Kerry Group Cl A Ord
KRYAY.OB	Kerry Group Plc ADR
KRYPF.OB	Kerry Properties Ltd
KRYXF.OB	Koryx Copper Inc
KSANF.OB	Kansai Paint [F]
KSBI.OB	KS Bancorp Inc [Nc]
KSIH.OB	KS International Holdings Corp
KSIOF.OB	Kneat.com Inc
KSKGF.OB	Kingsgate Cons NL
KSMRF.OB	Contagious Gaming Inc
KSPHF.OB	Kissei Pharmaceutical Co. Ltd
KSPN.OB	Kaspien Holdings Inc
KSRYY.OB	Kose Corp [Japan] ADR
KSSH.OB	Kingfish Holding Corp
KSSRF.OB	Kesselrun Resources Ltd
KSTBF.OB	Kestrel Gold Inc
KTBA.OB	Spc Bellsouth Corts
KTEL.OB	Konatel Inc
KTGDF.OB	K2 Gold Corp
KTHAF.OB	Krung Thai Bank Public Co. Ltd
KTHN.OB	Katahdin Bankshares Corp
KTPPF.OB	Katipult Technology Corp
KTWIF.OB	Kurita Water Industries Ltd
KTWIY.OB	Kurita Water Industries Ltd
KTYCF.OB	Kits Eyecare Ltd
KUASF.OB	Kuaishou Technology
KUBTF.OB	Kubota Corp
KUBTY.OB	Kubota Corp ADR
KUNUF.OB	Kunlun Energy Co. Ltd
KURRF.OB	Kuraray Co.
KURRY.OB	Kuraray Co.Ltd
KUYAF.OB	Kuya Silver Corp
KVGOF.OB	Kavango Resources Plc
KVLQF.OB	Valore Metals Corp
KWAC.OB	Kingswood Acquisition Corp
KWACU.OB	Kingswood Acquisition Corp
KWACW.OB	Kingswood Acquisition Corp
KWGBF.OB	Kwg Resources Inc
KWHIF.OB	Kawasaki Heavy Industries Ltd [Japan]
KWHIY.OB	Kawasaki Heavy Industries Ltd
KWIK.OB	Kwikclickinc
KWIPF.OB	Kiwi Income Property
KWPCF.OB	Kewpie Corp
KWTEF.OB	Kiwetinohk Energy Corp
KXINW.OB	Kaixin Auto Holdings WT
KXSCF.OB	Kinaxis Inc
KYCCF.OB	Keyence Corp
KYKOF.OB	Kyowa Hakko Kogyo Co. Ltd
KYKOY.OB	Kyowa Hakko Kogyo Co. Ltd
KYNC.OB	Kyn Capital Group Inc
KYOCF.OB	Kyocera Corp
KYOCY.OB	Kyocera Corp ADR
KYYWF.OB	Keywords Studios Plc
LAAB.OB	Startech Labs Inc
LADX.OB	Ladrx Corp
LALFS.OB	Landa App 2 Llc
LANRF.OB	Lancaster Res Inc
LANZ.OB	Lancer Orthodontics Inc
LASBS.OB	Landa App 2 Llc
LATF.OB	Latteno Food Corp
LATGF.OB	Chenghe Acquisition I CO WT
LAWYS.OB	Landa App Llc.
LBAS.OB	Location Based Techs
LBCMF.OB	Libero Copper & Gold Corp
LBEV.OB	Loud Beverage Group Inc
LBGUF.OB	Lundbergfoeretagen Ab Shs B
LBLCF.OB	Loblaw Companies Limited
LBNKF.OB	Lithiumbank Resources Corp
LBNW.OB	Liberty Northwest Bancorp
LBRDB.OB	Liberty Broadband Co.
LBRG.OB	Ladybug Resource Group Inc
LBRMF.OB	Labrador Iron Mines Holdings Ltd
LBSR.OB	Liberty Star Uranium & Metals Corp
LBTI.OB	Lithium & Boron Technology Inc
LBTSF.OB	Almirall Sa
LBUY.OB	Leafbuyer Technologies Inc
LBWR.OB	Labwire Inc
LBYE.OB	Liberty Energy Corp
LCCN.OB	Leapcharger Corp
LCCTF.OB	L'Occitane
LCDX.OB	Caliber Imaging & Diagnostics Inc
LCGMF.OB	Lion Copper & Gold Corp
LCHD.OB	Leader Capital Holdings Corp
LCHTF.OB	Livechat Software Sa
LCKYF.OB	Luckystrike Resources
LCLP.OB	Life Clips Inc
LCSHF.OB	Lancashire Holdings Ltd
LCTC.OB	Lifeloc Technologies Inc
LDDD.OB	Longduoduo CO Ltd
LDDFF.OB	Liberty Defense Holdings Ltd
LDNXF.OB	London Stock Exchange Group Plc
LDSCY.OB	Land Securities Group Plc ADR
LDSVF.OB	Lindt & Sprungli Ag
LDXHF.OB	Lumos Diagnostics Hldgs Ltd
LEAI.OB	Legacy Education Alliance Inc
LEAS.OB	Strategic Asset Leasing Inc
LEAT.OB	Leatt Corp
LEBGF.OB	Legible Inc
LECRF.OB	Leocor Gold Inc
LEEEF.OB	Leef Brands Inc
LEFUF.OB	Leon's Furniture Ltd
LEGIF.OB	Leg Immobilien Se
LEHKQ.OB	Lehman Brothers Holdings Capital Trust III
LEHLQ.OB	Lehman Brothers Holdings Inc Capital Trust IV
LEHNQ.OB	Lehman Br Hld 6.24 N
LEIC.OB	Lead Innovation Corp
LEMIF.OB	Leading Edge Materials Corp
LEON.OB	Leone Asset Management
LEXTF.OB	Lexston Mining Corp
LFABF.OB	Lifco Ab
LFCBY.OB	Lifco Ab
LFDJF.OB	LA Francaise Des Jeux
LFEV.OB	Life Electric Vehicles Holdings Inc
LFGP.OB	Ledyard Financial Group Inc
LFSWF.OB	Lifeist Wellness Inc
LGCFF.OB	Lavras Gold Corp
LGCP.OB	Legion Cap Corp
LGCXF.OB	Lahontan Gold Corp
LGDDF.OB	Lagardere Sa
LGDTF.OB	Liberty Gold Corp
LGFRY.OB	Longfor Properties
LGGNF.OB	Legal & General Grou
LGGNY.OB	Legal & General Grou ADR
LGIQ.OB	Logiq Inc
LGLBF.OB	Gold Bullion Securities Limited
LGMH.OB	Light Media Holdings Inc
LGNC.OB	Logan Clay Products Co.
LGNDZ.OB	Ligand Pharma
LGNXZ.OB	Ligand Pharma
LGNYZ.OB	Ligand Pharma
LGNZZ.OB	Ligand Pharma
LGRDY.OB	Legrand Sa ADR
LGRVF.OB	Legrand S.A.
LGSXY.OB	Light Sa ADR
LHHMQ.OB	Lehman Brothers Holdings Inc
LHUAF.OB	Lianhua Supermarket Holdings Ltd
LIBLS.OB	Landa App 3 Llc.
LICH.OB	Livechain Inc
LICT.OB	Lict Corp
LIFD.OB	Lftd Partners Inc
LIFFF.OB	Li-Ft Power Ltd
LIFS.OB	Life Stem Genetics
LIFX.OB	Life360
LIFZF.OB	Labrador Iron Ore
LIGA.OB	Lig Assets Inc
LIMAF.OB	Linamar Corp
LIMFF.OB	Li-Metal Corp
LINRF.OB	Liontown Resources Ltd
LINS.OB	Life Insurance Co. of Alabama
LISMF.OB	Lithium South Dev Corp
LITOF.OB	Frontier Lithium
LITRF.OB	Lithium Royalty Corp
LITSF.OB	Lithos Energy Ltd
LIVC.OB	Live Current Media Inc
LKFLF.OB	Luk Fook Holdings International Ltd
LKMNF.OB	Lucky Minerals Inc
LKNCY.OB	Luckin Coffee Inc ADR
LKREF.OB	Link Real Estate Investment Trust
LKRY.OB	Linktory
LKSB.OB	Lakeside Bancshares Inc LA
LLBO.OB	Lifeline Biotechnologies Inc
LLDTF.OB	Lloyds Banking Group Plc
LLESF.OB	Lendlease Corp Ltd
LLESY.OB	Lend Lease Corp Ltd ADR
LLKKF.OB	Lake Resources NL [Australia]
LLLAF.OB	Leo Lithium Ltd
LLLI.OB	Lamperd Less Lethal Inc
LLOBF.OB	Lloyds Banking Group Plc
LLXXF.OB	Multi Units Luxembourg Sicav
LLYVB.OB	Liberty Media Corp
LMBLS.OB	Landa App 3 Llc.
LMEFF.OB	Laurion Mineral Exploration Inc
LMGDF.OB	Lumina Gold Corp
LMGIF.OB	Lumine Group Inc
LMLLD.OB	
LMLLF.OB	Pharmadrug Inc
LMMFF.OB	Lithium Australia Ltd
LMPMY.OB	Lee & Man Paper Manufacturing Ltd
LMPX.OB	Lmp Automotive Holdings Inc
LMRMF.OB	Lomiko Metals Inc
LMRXF.OB	Laramide Resources Ltd
LMSQF.OB	Latin Metals Inc
LNCLF.OB	Lincoln Gold Mng Inc
LNDAF.OB	Linea Directa Aseguradora Sa
LNDNF.OB	Lundin Petroleum Ab
LNDT.OB	Liandi Clean Technology
LNDZF.OB	Salona Global Med Device Corp
LNGNF.OB	Lng Energy Group Corp
LNGPF.OB	Longfor Group Holdings Ltd
LNNGF.OB	Li Ning Co. Ltd
LNNGY.OB	Li Ning Company Ltd
LNSHS.OB	Landa App Llc.
LNSPF.OB	London & Stamford Ppt Ord
LNSTY.OB	London Stock Exchange Group Plc ADR
LNTO.OB	Lelantos Hldgs Inc
LNVGF.OB	Lenovo Group Ltd
LNVGY.OB	Lenovo Group Ltd ADR
LNXSF.OB	Lanxess Ag
LNXSY.OB	Lanxess Ag
LNZNF.OB	Lenzing Ag
LOBEF.OB	Lobe Sciences Ltd
LOCLW.OB	Local Bounti Corp
LOCM.OB	Local Corp
LOECF.OB	Logan Energy Corp
LOGL.OB	Legend Oil and Gas Ltd
LOGN.OB	Logansport Financial Corp
LOGQ.OB	Logicquest Technology Inc
LOMEF.OB	Lithium One Metals Inc
LOMLF.OB	Lion One Metals Ltd
LONCF.OB	Loncor Gold Inc
LOQPF.OB	Accesso Technology Group Plc
LOTE.OB	Lot78 Inc
LOVFF.OB	Cannara Biotech Inc
LOVLQ.OB	Spark Networks Se
LOVLY.OB	
LOWLF.OB	Lowell Farms Inc
LPDNF.OB	Lepidico Ltd
LPENF.OB	Loop Energy Inc
LPKGF.OB	Lupaka Gold Corp
LPPI.OB	Leep Inc
LPSIF.OB	Legend Power Sys Inc
LQAVF.OB	Liquid Avatar Technologies Inc
LQMT.OB	Liquidmetal Tech
LQRCF.OB	Black Mammoth Metals Corp
LQWC.OB	Lifequest World Corp
LQWDF.OB	Lqwd Technologies Corp
LRAXF.OB	Lara Exploration Ltd
LRCDF.OB	Laurentian Bank of Canada
LRDC.OB	Laredo Oil Inc
LRDG.OB	Lord Global Corp
LRDJF.OB	ST James Gold Corp
LRDR.OB	Laredo Resources Corp
LRDSF.OB	Lords & CO Worldwide Hldgs Inc
LRENY.OB	Lojas Renner Sa
LRGR.OB	Luminar Media Group Inc
LRLCF.OB	L'Oreal Company Act
LRLCY.OB	L'Oreal Company ADR
LRSRF.OB	Latin Resources Limited
LRSV.OB	Link Reservations Inc
LSANF.OB	Los Andes Copper Ltd
LSCG.OB	Lighting Science Group Corp
LSDAF.OB	Lassonde Industries Inc
LSEB.OB	Lseb Creative Corp
LSFG.OB	Lifestore Financial Group Inc
LSGOF.OB	Land Securities Grp
LSIIF.OB	Lisi Sa
LSMWS.OB	Landa App Llc.
LSPKF.OB	Lifespeak Inc
LSRCF.OB	Lasertec Corp
LSRCY.OB	Lasertec Corp
LTCH.OB	Latch Inc
LTCN.OB	Grayscale Litecoin TR Ltc
LTCP.OB	Life's Time Capsule Services Inc
LTES.OB	Leet Technology Inc
LTFD.OB	Littlefield Corp
LTGHY.OB	Life Healthcare
LTHCF.OB	Lithium Ionic Corp
LTHHF.OB	Lithium Pwr Intl Ltd
LTKBF.OB	Logistec Corp
LTMAY.OB	Latam Airlines Group S.A. ADR
LTMCF.OB	Lithium Chile Inc
LTMDS.OB	Landa App Llc.
LTNC.OB	Labor Smart Inc
LTOUF.OB	Larsen & Toubro Ltd
LTRCF.OB	Lottery Corp Ltd
LTRPA.OB	Liberty Tripadvisor Sr A
LTRPB.OB	Liberty Tripadvisor Sr B
LTSA.OB	Ladenburg Thalmann Financial Services Inc 8.00%
LTSDS.OB	Landa App 2 Llc
LTSF.OB	Ladenburg Thalmann Financial Services Inc 7.00%
LTSH.OB	Ladenburg Thalmann Financial Services Inc
LTSK.OB	Ladenburg Thalmann Financial Services Inc
LTSL.OB	Ladenburg Thalmann Financial Services Inc
LTSRF.OB	Lotus Resources Ltd
LTTHF.OB	Learning Technologies Group Plc
LTUM.OB	Lithium Corp
LTUS.OB	Lotus Pharmaceuticals Inc
LUCMF.OB	Luca Mining Corp
LUCRF.OB	Lucara Diamond Corp
LUDG.OB	Ludwig Enterprises Inc
LUFFF.OB	Herbal Dispatch Inc
LUGDF.OB	Lundin Gold Inc
LUKEF.OB	Real Luck Group Ltd
LUMB.OB	Lumbee Guaranty Bank Pembroke NC
LUMIF.OB	Luminex Resources Corp
LUNMF.OB	Lundin Mining Corp
LURAF.OB	Latitude Uranium Inc
LUVU.OB	Liberator Inc
LUXFF.OB	Luxxfolio Hldgs Inc
LVCA.OB	Victoria Lake Inc
LVCE.OB	Livecare Inc
LVCLY.OB	Algorae Pharmaceuticals Ltd ADR
LVGI.OB	Limitless Venture Group Inc
LVMHF.OB	Lvmh Moet Henn L Vut ADR
LVMUY.OB	Lvmh Moet Henn ADR
LVRLF.OB	Cordovacann Corp
LVTSF.OB	Livetiles Ltd
LVVV.OB	Livewire Ergogenics Inc
LVWD.OB	Liveworld Inc
LVXFF.OB	Leviathan Gold Ltd
LWCL.OB	Lewis & Clark Bk Ore
LWSCF.OB	Sienna Sr Living Inc
LXENF.OB	Lithium Energi Exploration Inc
LXILF.OB	Lxi REIT Plc
LYBC.OB	Lyons Bancorp Inc
LYSCF.OB	Lynas Corp
LYSDY.OB	Lynas Rare Earths Ltd ADR
LYSFF.OB	Leroy Seafood Group ASA
LYSFY.OB	Leroy Seafood Group ASA
LZAGF.OB	Lonza Group Ltd
LZAGY.OB	Lonza Group Ag ADR
LZGI.OB	Lzg International Inc
LZRFY.OB	Localiza Rent A Car ADR
MAAL.OB	Marketing Alliance
MAANF.OB	Maanshan Iron & Stee
MACE.OB	Mace Security International Inc
MACT.OB	Machten Inc
MADGF.OB	Mader Group Ltd
MAGE.OB	Magellan Gold Corp
MAHLY.OB	Medipal Holdings Corp
MAHMF.OB	Mahindra & Mahindra Ltd
MAIFF.OB	Minera Alamos
MAKAD.OB	Hardcore Discoveries Ltd
MAKAF.OB	Makara Mining Corp
MAKOF.OB	Mako Mining Corp
MAKSF.OB	Marks & Spencer Group Plc
MAKSY.OB	Marks & SP Gp ADR
MALG.OB	Microalliance Group Inc
MALJF.OB	Magellan Aerospace C
MALRF.OB	Mineral Resources Ltd
MALRY.OB	Mineral Resources Ltd
MAMTF.OB	Mcan Mortgage Corp
MANA.OB	Grayscale Decentraland Trust [Mana]
MANDF.OB	Mandatum Oyj
MANVF.OB	Manning Ventures Inc
MAORF.OB	Mandarin Oriental International Ltd
MAPGF.OB	Mapletree Logistics Trust Units Real Estate Inve
MAPIF.OB	Mapletree Industrial TR
MAPPF.OB	Prostar Hldgs Inc
MAPT.OB	Maptelligent Inc
MAQAF.OB	Atlas Arteria Ltd
MARIF.OB	Marimaca Copper Corp
MARUF.OB	Marubeni Corp
MARUY.OB	Marubeni Corp ADR
MARVF.OB	Marvel Discovery Corp
MARZF.OB	Marston's Plc.
MASN.OB	Maison Luxe Inc
MATEF.OB	Blockmate Ventures Inc
MATRF.OB	Matsa Resources Ltd
MAURY.OB	Marui Group Ltd
MAUTF.OB	Montage Gold Corp
MAWHY.OB	Man Wah Holdings Ltd
MAXQF.OB	Maritime Launch Services Inc
MAXXF.OB	Max Pwr Mng Corp
MAYNF.OB	Mayne Pharma Ltd
MBAIF.OB	Medbright Ai Investments Inc
MBBC.OB	Marathon Bancorp Inc
MBCF.OB	Itafos Inc
MBCI.OB	Mabcure Inc
MBCOF.OB	Marvel Biosciences Corp
MBFJF.OB	Mitsubishi Ufj Financial Group Inc
MBGAF.OB	Mercedes Benz Group Ag
MBGYY.OB	Mercedes Benz Group Ag
MBHCF.OB	Mbh Corp Plc
MBKL.OB	Metairie Bk & TR [La
MBLMF.OB	Mobilum Technologies Inc
MBLU.OB	Morris ST Bancshares Inc
MBOF.OB	Marine Bancorp Fla Inc
MBUMY.OB	Mabuchi Motor Ltd
MBXBF.OB	Microbix Biosystems Inc
MBYMF.OB	Mtb Metals Corp
MCAP.OB	Mcap Inc
MCARY.OB	Mercari Inc ADR
MCBI.OB	Mountain Commerce Bancorp Inc
MCBK.OB	Madison County Financial Inc
MCCK.OB	Mestek Inc
MCCRF.OB	Mccoy Global Inc
MCDIF.OB	McDermott International Ltd
MCDMF.OB	Macdonald Mines Exploration Ltd
MCDTF.OB	McDermott International Ltd
MCEM.OB	Monarch Cement Co.
MCFNF.OB	Mcf Energy Ltd
MCHHF.OB	Macmahon Holdings Ltd
MCHN.OB	Mchenry Bancorp Inc
MCHOY.OB	Multichoice Group Limited
MCHVF.OB	MGM China Holdings Ltd
MCIC.OB	Multicorp International Inc
MCKRF.OB	Jade Leader Corp
MCLDF.OB	Mcloud Technologies Corp
MCLE.OB	Medicale Corp
MCNO.OB	Mucinno Holding Inc
MCOA.OB	Marijuana Company of America Inc
MCOIF.OB	Multichoice Group Ltd
MCPH.OB	Midland Cap Hlds
MCQEF.OB	Macquarie Group Ltd
MCRAA.OB	Mcrae Inds Cl A
MCREF.OB	Metals Creek Resources Corp
MCRPF.OB	Microport Scientific
MCRUF.OB	Morgan Advanced Materials Plc
MCSHF.OB	Metcash Ltd
MCUJF.OB	Medicure Inc
MCVEF.OB	Medicover Ab
MDALF.OB	Mda Ltd
MDAW.OB	Media Way Corp
MDCE.OB	Medical Care Technologies Inc
MDDNF.OB	Meridian Energy Ltd
MDDVF.OB	Medical Developments International Ltd
MDEVF.OB	Melco International Development Limited
MDGEF.OB	Medigene Ag
MDIBY.OB	Mediobanca Spa
MDMN.OB	Medinah Minerals Inc
MDMP.OB	Mdm Permian Inc
MDNAF.OB	Medicenna Therapeutics Corp
MDNDF.OB	McDonalds Ltd Tokyo
MDNGF.OB	Midnight Sun Mining Corp
MDRM.OB	Modern Mobility Aids Inc
MDRNF.OB	Modern Plant Based Foods Inc
MDTC.OB	Media Techs Inc
MDVT.OB	Middlebury Natl Corp
MDWK.OB	Mdwerks Inc
MDXL.OB	Medixall Group Inc
MEAUF.OB	Moneta Gold Inc
MECVF.OB	Mdf Commerce Inc
MEDAF.OB	Medaro Mining Corp
MEDD.OB	Medical Imaging Corp
MEDH.OB	Medx Holdings Inc
MEDIF.OB	Medipharm Labs Corp
MEDVF.OB	Medivolve Inc
MEDXF.OB	Medexus Pharmaceuticals Inc
MEEC.OB	Midwest Energy Emissions Corp
MEEEF.OB	Metal Energy Corp
MEGEF.OB	Meg Energy Corp
MEIL.OB	Methes Energies International Ltd
MEJHY.OB	Meiji Holdings Ltd
MENEF.OB	Mene Inc
MENXF.OB	Memex Inc
MEOBF.OB	Mesoblast Ltd
MEPDF.OB	Medipal Holdings Corp
METOF.OB	Meteoric Resorces NL
MEXGF.OB	Mexican Gold Mng Corp
MFBP.OB	M&F Bancorp Inc
MFCO.OB	Microwave Filter Co. Inc
MFCSF.OB	Medical Facilities Corp
MFDB.OB	Mutual Federal Bancorp Inc
MFGCF.OB	Mayfair Gold Corp
MFGI.OB	Merchants Financial Group Inc
MFLTF.OB	Missfresh Limited
MFLTY.OB	Missfresh Ltd ADR
MFMLF.OB	International Iconic Gold Exploration Corp
MFON.OB	Mobivity Holdings Corp
MGAFF.OB	Mega Uranium Ltd
MGAWY.OB	Megaworld Corp ADR
MGCLF.OB	Mgc Pharmaceuticals Ltd
MGDDF.OB	Michelin Cie Gen Des
MGDDY.OB	Cie Generale Des Etablissements Michelin Sa
MGDPF.OB	Marathon Gold Corp
MGFRF.OB	Magforce Nanotechnologies Ag
MGHCF.OB	Minco Cap Corp
MGHL.OB	Morgan Group Holding Co.
MGLUY.OB	Magazine Luiza Sa
MGMLF.OB	Maple Gold Mines Ltd
MGMNF.OB	Magna Mng Inc
MGON.OB	Megola Inc
MGPHF.OB	Mason Resources Inc
MGPPF.OB	Megaport Ltd
MGPRF.OB	Plascred Circular Innovations Inc
MGPUF.OB	M&G Plc
MGROF.OB	Mustgrow Biologics Corp
MGRUF.OB	Morguard Real Est UT
MGTI.OB	MGT Capital Investments Inc
MGUY.OB	Mogul Energy International Inc
MGWFF.OB	Maple Leaf Green World Inc
MGYOY.OB	Mol Magyar Olaj Gaz ADR
MHCUF.OB	Flagship Communities Real Estate Investment Trus
MHGU.OB	Meritage Hospitality Group Inc
MHGVY.OB	Marine Harvest ASA [Norway] ADR
MHHC.OB	Mhhc Enterprises Inc
MHIVF.OB	Mainstreet Health Investments Inc
MHSDF.OB	Megacable Hld Ord
MHTUF.OB	Merchants Trust Plc
MHTX.OB	Manhattan Scientifics Inc
MHTZF.OB	Manhattan Corp
MHUBF.OB	Minehub Technologies Inc
MHVYF.OB	Mitsubishi Heavy Industries Ltd
MICR.OB	Micron Solutions Inc
MIDLF.OB	Midland Expl Inc
MIELF.OB	Mitsubishi Electric Corp
MIELY.OB	Mitsubishi Elect Cor
MIESY.OB	Mitsui E&S CO Ltd
MIFF.OB	Mifflinburg Bancorp Inc
MIHDF.OB	Misc Bhd
MIKP.OB	Mike The Pike Productions Inc
MILC.OB	Millennium Sustainable Ventures Corp
MILFF.OB	1Cm Inc
MIMWW.OB	Airspan Networks Holdings Inc
MIMZF.OB	Nighthawk Gold Corp
MINBY.OB	Minebea Mitsumi Inc
MINE.OB	Minerco
MIRXF.OB	Serrano Res Ltd
MISVF.OB	Minco Silver Corp
MITEF.OB	Mitsubishi Estate Ltd
MITEY.OB	Mitsubishi Estate Co.
MITFF.OB	Mitie Group Plc.
MITFY.OB	Mitie Group Plc.
MITI.OB	Mitesco Inc
MITJF.OB	Mint Corp
MITSF.OB	Mitsui & Ltd
MITSY.OB	Mitsui & Company ADR
MITUF.OB	Mitsui Chemicals Inc
MITUY.OB	Mitsui Chemicals Inc [Japan] ADR
MIUFF.OB	Mitsubishi Hc Capital Inc
MJDLF.OB	Major Drilling Group International Inc
MJDS.OB	Mojo Data Solutions Inc
MJGCF.OB	Majestic Gold Corp
MJHI.OB	Mj Harvest Inc
MJLB.OB	Ultrack Systems Inc
MJNA.OB	Medical Marijuana I
MJNE.OB	Mj Holdings Inc
MJWL.OB	Majic Wheels Corp
MKDTY.OB	Molecular Data Inc
MKEWF.OB	Makita Corp
MKGAF.OB	Merck Kgaa
MKGP.OB	Maverick Energy Grp Ltd
MKIN.OB	Mcnb Banks Inc
MKKGY.OB	Merck Kgaa ADR
MKMLF.OB	Makino Milling
MKNGF.OB	Mkango Res Ltd
MKRIF.OB	Melkior Resources IN
MKSEF.OB	Marksmen Energy Inc
MKTAY.OB	Makita Corp ADR
MKTDF.OB	Deepmarkit Corp
MKULQ.OB	Molekule Group Inc
MLBEF.OB	Webcentral Group Ltd
MLCT.OB	Malachite Innovations Inc
MLFB.OB	Major League Football Inc
MLFNF.OB	Maple Leaf Foods Inc
MLGCF.OB	M3 Metals Corp
MLGF.OB	Malaga Financial Corp
MLLCF.OB	Molecular Partners Ag
MLLGF.OB	Mullen Group Ltd
MLLOF.OB	Medallion Resources Ltd
MLLUY.OB	Metallurgical Corp China Ltd
MLMLF.OB	Mcfarlane Lake Mining Limited
MLMN.OB	Millennium Prime Inc
MLPH.OB	Molecular Pharmacology [Usa] Ltd
MLPNF.OB	Millennial Potash Corp
MLRT.OB	Metalert Inc
MLSPF.OB	Melrose Industries Plc
MLUZF.OB	Multi Units Luxembourg Sicav Shares Multi Units
MLXEF.OB	Metals X Ltd
MLYBY.OB	Malayan Banking Berhad
MLYCF.OB	Multi-Metal Dev Ltd
MLYF.OB	Western Magnesium Corp
MLYNF.OB	Malayan Banking Berhad
MMAPF.OB	Memscap S.A.
MMCWF.OB	Mind Medicine Mindmed Inc
MMDCF.OB	Mind Medicine Mindmed Inc
MMEX.OB	Mmex Resources Corp
MMIRF.OB	Medmira Inc
MMJJF.OB	Hygrovest Ltd
MMLTF.OB	Mmg Ltd
MMMKF.OB	Avenira Ltd
MMMM.OB	Quad M Solutions Inc
MMMRF.OB	Mammoth Resources Corp
MMMW.OB	Mass Megawatts Wind Power Inc
MMND.OB	Mastermind Inc
MMNFF.OB	Medmen Enterprises Inc Cl B
MMNGF.OB	Metallic Minerals Corp
MMRGF.OB	Minaurum Gold Inc
MMSDF.OB	Macarthur Minerals
MMSMY.OB	Mitsu Mining & Smelting Co. Ltd
