Symbol	Description
AIRYY.OB	Air China Ltd ADR
AISFF.OB	Amundi Index Solutions Sicav
AISSF.OB	Aisoftware Spa
AISXF.OB	Aisix Solutions Inc
AITUY.OB	Anritsu Corp
AITX.OB	Artificial Intelligence Tech Solutions
AIVAF.OB	Aviva Plc
AIVN.OB	American International Ventures Inc
AIXN.OB	Aixin Life International Inc
AIXXF.OB	Aixtron Se
AJIA.OB	Ajia Innogroup Holdings Limited
AJINF.OB	Ajinomoto Company Inc
AJINY.OB	Ajinomoto Company Inc ADR
AJLGF.OB	Aj Lucas Group Ltd
AJMPF.OB	Ashmore Group Plc.
AJOY.OB	Ayujoy Herbals Ltd
AKAAF.OB	Aker As
AKBLF.OB	Alk Abello As
AKBTY.OB	Akbank Turk Anonim Sirketi
AKCCF.OB	Aker Carbon Capture ASA
AKEMF.OB	Alaska Energy Metals Corp
AKKVF.OB	Akastor ASA ASA
AKPXS.OB	Ark7 Pptys Plus Llc.
AKPZS.OB	Ark7 Pptys Plus Llc.
AKRBF.OB	Aker BP ASA
AKRFF.OB	Ackroo Inc
AKTAF.OB	Akita Drilling Ltd
AKUMQ.OB	Akumin Inc
AKZOF.OB	Akzo Nobel NV
AKZOY.OB	Akzo Nobel NV # ADR
ALBBY.OB	Alibaba Health Information Tech
ALBHF.OB	Alibaba Health Information Technology Ltd
ALBKF.OB	Alpha Bank Grd2000
ALBKY.OB	Alpha Services and Holdings Sa
ALBY.OB	Community Capital Bancshares Inc
ALCN.OB	Atlantic Central Entprs Ltd
ALCUD.OB	
ALCUF.OB	Alpha Copper Corp
ALDS.OB	Applife Digital Solutions Inc
ALDVF.OB	Kiplin Metals Inc
ALEGF.OB	Allegro EU Sa
ALFFF.OB	Alfa S.A.B DE C.V
ALFNF.OB	Alfen NV
ALFVY.OB	Alfa-Laval Ab ADR
ALGEF.OB	Alligator Energy Ltd
ALGGF.OB	Alliance Global Group Inc
ALGGY.OB	Alliance Global
ALID.OB	Allied Corp
ALITF.OB	Alliance Trust Co. Ltd
ALIZF.OB	Allianz Se
ALIZY.OB	Allianz ADR
ALKEF.OB	Alkane Resources Ltd
ALKM.OB	Alkame Holdings Inc
ALLDF.OB	Ald S A
ALLIF.OB	Atlantic Lithium Ltd
ALMFF.OB	Altium Ltd
ALMMF.OB	Aluminum Corp of China Ltd
ALMTF.OB	Almonty Industries
ALMU.OB	Aeluma Inc
